question,expected_answer
"{""question"":""In the paper about the Centaur foundation model, what happens to the model's internal representations after being fine-tuned on the Psych-101 dataset?""}","{""expected_answer"":""The model's internal representations become more aligned with human neural activity.""}"
"{""question"":""In the study on capturing human cognition, how does the Centaur model's performance compare to existing cognitive models?""}","{""expected_answer"":""Centaur captures the behaviour of held-out participants better than existing cognitive models.""}"
"{""question"":""According to the paper on the Centaur foundation model, what is it designed to predict and simulate regarding human cognition?""}","{""expected_answer"":""It can predict and simulate human behaviour in any experiment expressible in natural language.""}"
"{""question"":""For the Centaur model, what is the name and scale of the dataset used for fine-tuning to capture human cognition?""}","{""expected_answer"":""Psych-101, which covers trial-by-trial data from over 60,000 participants in 160 experiments.""}"
"{""question"":""In the paper 'A foundation model to predict and capture human cognition' what is the name of the computational model introduced?""}","{""expected_answer"":""Centaur.""}"
"{""question"":""The paper 'Algorithmic Bias?' concludes that optimizing for what factor can lead to apparently discriminatory outcomes in ad delivery?""}","{""expected_answer"":""An algorithm that simply optimizes for cost-effectiveness.""}"
"{""question"":""In the context of the STEM career ad study, what was the difference in click behavior between men and women who were shown the ad?""}","{""expected_answer"":""Among those who saw the ad, women were more likely to click on it than men.""}"
"{""question"":""In the empirical study of gender-based discrimination in STEM ad display, what reason is given for why fewer women saw the advertisement?""}","{""expected_answer"":""Younger women are a prized demographic and are more expensive to show ads to, so a cost-optimizing algorithm shows the ad to them less often.""}"
"{""question"":""Regarding the display of STEM career ads, what was the empirical result of the ad's delivery in the 'Algorithmic Bias?' paper?""}","{""expected_answer"":""Fewer women saw the ad than men.""}"
"{""question"":""In the study on gender-based discrimination in STEM career ads, what was the explicit intention for the ad's delivery?""}","{""expected_answer"":""The ad was explicitly intended to be gender-neutral in its delivery.""}"
"{""question"":""The findings of the 'Feeback Loops in Machine Learing' paper underscore the complex nature of algorithmic discrimination as what kind of phenomenon?""}","{""expected_answer"":""A sociotechnological phenomenon.""}"
"{""question"":""What type of setting was used in the simulations of the 'Feedback Loops in Machine Learning' paper to examine the ML model's evolution?""}","{""expected_answer"":""A setting that mirrors sequential interactions, such as loan approval decisions.""}"
"{""question"":""What is the key finding regarding the continuous updating of ML models?""}","{""expected_answer"":""Continuous updating can help mitigate algorithmic discrimination and enhance economic efficiency over time.""}"
"{""question"":""How do ML models endogenously shape their future training data?""}","{""expected_answer"":""By influencing human decisions, which then generate new data points (or a lack thereof) for future model training.""}"
"{""question"":""What effect can human decision-makers have on the self-correction of discriminatory models when they are kept in the loop?""}","{""expected_answer"":""Human decision-makers in the loop may impede the self-correction of discriminatory models and can even cause initially unbiased models to become discriminatory over time.""}"
"{""question"":""What is a key challenge with opaque algorithmic designs in recruitment?""}","{""expected_answer"":""They hinder the detection and correction of biases, making it difficult for HR teams to ensure equitable hiring.""}"
"{""question"":""According to some studies cited, what are two benefits of AI-supported recruitment?""}","{""expected_answer"":""It can reduce costs and save time.""}"
"{""question"":""What are two recommended categories of measures to mitigate algorithmic bias in recruitment?""}","{""expected_answer"":""Technical measures (like unbiased dataset frameworks and improved transparency) and management measures (like internal ethical governance and external oversight).""}"
"{""question"":""Besides gender and race, what other characteristic is mentioned as a basis for discriminatory hiring practices by AI?""}","{""expected_answer"":""Personality traits.""}"
"{""question"":""According to the study of the paper 'Ethics and discrimination in artificial intelligence-enabled recruitment practices', what are two primary sources from which algorithmic bias stems?""}","{""expected_answer"":""Algorithmic bias stems from limited raw data sets and biased algorithm designers.""}"
"{""question"":""What does the CRISP-DM User Guide provide that the Reference Model does not?""}","{""expected_answer"":""The User Guide gives more detailed tips and hints for each phase and task on how to do a data mining project, whereas the Reference Model describes what to do.""}"
"{""question"":""Which task is mentioned as often being the lengthiest in the Data Preparation phase?""}","{""expected_answer"":""The 'Clean data' task.""}"
"{""question"":""What is the stated aim of the CRISP-DM process model?""}","{""expected_answer"":""To make large data mining projects less costly, more reliable, more repeatable, more manageable, and faster.""}"
"{""question"":""What does CRISP-DM stand for?""}","{""expected_answer"":""Cross Industry Standard Process for Data Mining.""}"
"{""question"":""What are the six phases of the CRISP-DM process model?""}","{""expected_answer"":""The six phases are Business Understanding, Data Understanding, Data Preparation, Modeling, Evaluation, and Deployment.""}"
"{""question"":""What three characteristics define a General Purpose Technology (GPT)?""}","{""expected_answer"":""They are pervasive, improve over time, and lead to complementary innovation.""}"
"{""question"":""In the paper 'THE PRODUCTIVITY J-CURVE: HOW INTANGIBLES COMPLEMENT GENERAL PURPOSE TECHNOLOGIES', by how much higher was the adjusted measure of Total Factor Productivity (TFP) compared to official measures at the end of 2017?""}","{""expected_answer"":""The adjusted TFP was 15.9% higher than official measures at the end of 2017.""}"
"{""question"":""What did Robert Solow's productivity paradox state?""}","{""expected_answer"":""That one 'can see in the computer age everywhere but in the productivity statistics'""}"
"{""question"":""What are some examples of complementary investments required by General Purpose Technologies (GPTs) like AI?""}","{""expected_answer"":""Business process redesign, co-invention of new products and business models, and investments in human capital.""}"
"{""question"":""According to the text, what is the 'Productivity J-Curve' phenomenon?""}","{""expected_answer"":""It is a phenomenon where, as firms adopt a new General Purpose Technology (GPT), total factor productivity (TFP) growth is initially underestimated because resources are spent on unmeasured intangible capital. Later, measured productivity growth overestimates true productivity as the benefits from those intangibles are realized.""}"
"{""question"":""What societal benefit, in terms of CO2 emissions, would a 2.6% return decrease translate to based on U.S. figures from 2022?""}","{""expected_answer"":""It would result in a reduction of 624,000 metric tons of CO2 emissions.""}"
